nombre,id_omegaup
Entrada y salida,problemTagInputAndOutput
Cálculos aritméticos,problemTagArithmetic
Toma de decisiones,problemTagConditionals
Ciclos,problemTagLoops
Arreglos,problemTagArrays
Matrices,problemTagMatrices
Caracteres y cadenas,problemTagCharsAndStrings
Entrada y salida con presentación,problemTagFormattedInputAndOutput
Implementación,problemTagImplementation
Fuerza bruta,problemTagBruteForce
Recursión,problemTagRecursion
Exponenciación binaria,problemTagExponentiationBySquaring
Ordenamiento,problemTagSorting
Búsqueda binaria,problemTagBinarySearch
Salto exponencial,problemTagExponentialSearch
Pilas,problemTagStacks
Colas,problemTagQueues
Listas enlazadas,problemTagLinkedLists
Índices invertidos,problemTagInvertedIndices
Montículos,problemTagHeaps
Árboles binarios de búsqueda,problemTagBinarySearchTree
Recorridos en árboles,problemTagTreeTransversal
Representación de gráficas,problemTagGraphRepresentation
Conexidad en gráficas,problemTagGraphConnectivity
Gráficas dirigidas,problemTagDirectedGraphs
Gráficas con pesos negativos,problemTagGraphsWithNegativeWeights
Caminos más cortos,problemTagShortestPaths
Árboles abarcadores,problemTagMinimumSpanningTrees
Ordenamiento topológico,problemTagTopologicalSorting
Conjuntos disjuntos,problemTagDisjointSets
Manipulación de bits,problemTagBitManipulation
Compresión de datos,problemTagDataCompression
Procesamiento de datos masivos,problemTagBigData
Búsqueda en amplitud,problemTagBreadthFirstSearch
Búsqueda en profundidad,problemTagDepthFirstSearch
Búsqueda con retroceso,problemTagBacktracking
Búsqueda local,problemTagLocalSearch
Memorización,problemTagMemorization
Algoritmos glotones,problemTagGreedyAlgorithms
Divide y vencerás,problemTagDivideAndConquer
Programación dinámica,problemTagDynamicProgramming
Método de las dos mitades,problemTagMeetInTheMiddle
Búsqueda de subarreglos,problemTagSubArraySearch
Búsqueda de subcadenas,problemTagStringMatching
Búsqueda de subsecuencias,problemTagSubsequenceSearch
Palíndromos,problemTagPalindromeAlgorithms
Geometría analítica,problemTagAnalyticGeometry
Sistemas de ecuaciones,problemTagSystemsOfEquations
Múltiplos y divisores comunes,problemTagGCDAndLCM
Aritmética modular,problemTagModularArithmetic
Inverso modular,problemTagModularMultiplicativeInverse
Permutaciones,problemTagPermutations
Combinaciones,problemTagCombinations
Reglas de divisibilidad,problemTagDivisibilityRules
Problemas de conteo,problemTagCountingProblems
Diseños combinatorios,problemTagCombinatorialDesigns
Teoría de juegos,problemTagGameTheory
Teoría de números,problemTagNumberTheory
Pruebas de primalidad,problemTagPrimalityTest
Generación de primos,problemTagPrimeGeneration
Factorización prima,problemTagPrimeFactorization
Transformada de Fourier,problemTagFourierTransformation
Lógica y álgebra booleana,problemTagBooleanAlgebra
Números grandes,problemTagBigNumbers
Cerco convexo,problemTagConvexHull
Vecinos más cercanos,problemTagNearestNeighbors
Probabilidad y estadística,problemTagProbabilityAndStatistics
Ventana deslizante,problemTagSlidingWindow
Árboles de segmentos,problemTagSegmentTrees
Árboles de prefijos,problemTagTries
Árboles de sufijos,problemTagSuffixTrees
Árboles de Fenwick,problemTagFenwickTrees
Descomposición SQRT,problemTagSQRTDecomposition
Evaluación perezosa,problemTagLazyPropagation
Peticiones fuera de línea,problemTagOfflineQueries
Acoplamiento bipartito,problemTagBipartiteMatching
Flujo máximo,problemTagMaxFlow
Análisis léxico-sintáctico,problemTagLexingAndParsing
Heurísticas,problemTagHeuristics
Acumulación parcial,problemTagPartialSums
Análisis de recurrencias,problemTagAnalysisOfRecurrences
Entrada y salida sin formato,problemTagUnformattedInputAndOutput
Posicionamiento en archivos,problemTagFileSeeking
Gráficas acíclicas (árboles),problemTagTrees
Algoritmos genéticos,problemTagGeneticAlgorithms
Ancestro común en árboles,problemTagLeastCommonAncestor
Barrido del plano,problemTagSweepLine
Búsqueda incremental,problemTagIncrementalSearch
Dispersión,problemTagHashing
Ecuaciones diofánticas,problemTagDiophantineEquations
Funciones,problemTagFunctions
Optimización de partículas,problemTagParticleSwarmOptimization
Pila monótona,problemTagMonotoneStack
Series numéricas,problemTagNumericalSeries
Simulación,problemTagSimulation
Teorema chino del residuo,problemTagChineseRemainderTheorem
Técnica de dos apuntadores,problemTagTwoPointersTechnique
Árboles Wavelet,problemTagWaveletTrees
Búsqueda lineal,problemTagLinearSearch
